iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
450,o_proj,360,15.2965,0.0425,0.0399,0.0451
450,qkv_proj,360,14.6442,0.0407,0.0379,0.0676
460,attn,360,115.7888,0.3216,0.2908,0.5427
460,attn_kernel,360,79.2771,0.2202,0.1905,0.4055
460,down_proj,360,23.3503,0.0649,0.0604,0.0707
460,gate_up_proj,360,37.6627,0.1046,0.1014,0.1096
460,mlp,360,69.2285,0.1923,0.1864,0.1997
460,o_proj,360,15.2637,0.0424,0.0389,0.0451
460,qkv_proj,360,14.8398,0.0412,0.0379,0.1956
470,attn,360,118.6273,0.3295,0.2959,0.6707
470,attn_kernel,360,81.9814,0.2277,0.1966,0.4311
470,down_proj,360,23.5571,0.0654,0.0604,0.0717
470,gate_up_proj,360,37.6228,0.1045,0.1014,0.1352
470,mlp,360,69.4149,0.1928,0.1874,0.2386
470,o_proj,360,15.1890,0.0422,0.0389,0.0461
470,qkv_proj,360,14.9361,0.0415,0.0379,0.1116
480,attn,360,119.2940,0.3314,0.2959,0.5642
480,attn_kernel,360,83.0382,0.2307,0.1976,0.4188
480,down_proj,360,23.5674,0.0655,0.0604,0.0707
480,gate_up_proj,360,37.5654,0.1043,0.1004,0.1188
480,mlp,360,69.3453,0.1926,0.1874,0.2109
480,o_proj,360,15.1788,0.0422,0.0389,0.0451
480,qkv_proj,360,14.6821,0.0408,0.0379,0.0819
490,attn,360,118.5126,0.3292,0.2970,0.5591
490,attn_kernel,360,82.0019,0.2278,0.1864,0.4229
490,down_proj,360,23.5264,0.0654,0.0604,0.0788
490,gate_up_proj,360,37.5910,0.1044,0.1014,0.1331
490,mlp,360,69.3146,0.1925,0.1864,0.2181
490,o_proj,360,15.1798,0.0422,0.0389,0.0451
490,qkv_proj,360,14.9094,0.0414,0.0379,0.2222
500,attn,360,117.6392,0.3268,0.2959,0.5581
500,attn_kernel,360,81.2421,0.2257,0.1956,0.4188
500,down_proj,360,23.5612,0.0654,0.0604,0.0707
500,gate_up_proj,360,37.5685,0.1044,0.1014,0.1249
500,mlp,360,69.3494,0.1926,0.1864,0.2284
500,o_proj,360,15.1900,0.0422,0.0399,0.0522
500,qkv_proj,360,14.7773,0.0410,0.0379,0.0799
